[2026-02-25 12:45:25,782] 19 root - Initiate the Data ingestion
[2026-02-25 12:45:35,608] 65 root - Performed train test split on the Dataframe
[2026-02-25 12:45:35,608] 67 root - Exited split_data_as_train_test method od Data_Ingestion class
[2026-02-25 12:45:35,608] 71 root - exporting train and test file path.
[2026-02-25 12:45:35,614] 79 root - Exported train and test file path
[2026-02-25 12:45:35,615] 21 root - Data Ingestion completed
[2026-02-25 12:45:35,629] 25 root - Initiate Data validation
[2026-02-25 12:45:35,691] 41 root - Required number of columns:{number_of_columns}
[2026-02-25 12:45:35,691] 42 root - Dataframe has columns:10
[2026-02-25 12:45:35,691] 41 root - Required number of columns:{number_of_columns}
[2026-02-25 12:45:35,692] 42 root - Dataframe has columns:10
[2026-02-25 12:45:35,716] 27 root - data validation completed
[2026-02-25 12:45:35,717] 29 root - Data Transformation Initiatiated
