[2026-02-25 20:56:42,601] 1025 httpx - HTTP Request: POST https://dagshub.com/login/oauth/middleman "HTTP/1.1 200 OK"
[2026-02-25 20:56:43,554] 1025 httpx - HTTP Request: POST https://dagshub.com/login/oauth/access_token "HTTP/1.1 200 OK"
[2026-02-25 20:56:44,492] 1025 httpx - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[2026-02-25 20:56:44,496] 107 dagshub - Accessing as ramnallapati
[2026-02-25 20:56:45,535] 1025 httpx - HTTP Request: GET https://dagshub.com/api/v1/repos/ramnallapati/Industry-standard-ml-project-code "HTTP/1.1 200 OK"
[2026-02-25 20:56:46,495] 1025 httpx - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[2026-02-25 20:56:46,498] 107 dagshub - Initialized MLflow to track repo "ramnallapati/Industry-standard-ml-project-code"
[2026-02-25 20:56:46,498] 107 dagshub - Repository ramnallapati/Industry-standard-ml-project-code initialized!
[2026-02-25 20:56:46,499] 20 root - Initiate the Data ingestion
[2026-02-25 20:56:56,034] 65 root - Performed train test split on the Dataframe
[2026-02-25 20:56:56,034] 67 root - Exited split_data_as_train_test method od Data_Ingestion class
[2026-02-25 20:56:56,034] 71 root - exporting train and test file path.
[2026-02-25 20:56:56,038] 79 root - Exported train and test file path
[2026-02-25 20:56:56,038] 22 root - Data Ingestion completed
[2026-02-25 20:56:56,054] 26 root - Initiate Data validation
[2026-02-25 20:56:56,088] 41 root - Required number of columns:{number_of_columns}
[2026-02-25 20:56:56,088] 42 root - Dataframe has columns:10
[2026-02-25 20:56:56,089] 41 root - Required number of columns:{number_of_columns}
[2026-02-25 20:56:56,089] 42 root - Dataframe has columns:10
[2026-02-25 20:56:56,105] 28 root - data validation completed
[2026-02-25 20:56:56,105] 30 root - Data Transformation Initiatiated
[2026-02-25 20:56:56,106] 71 root - Entered initiate_data_transformation method of DataTransformation class
[2026-02-25 20:56:56,106] 74 root - starting data transformation
[2026-02-25 20:56:56,110] 55 root - Entered get_data_transformer_object method of Transformation class
[2026-02-25 20:56:56,110] 61 root - Initialize KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-02-25 20:56:56,117] 50 root - Enter the save_object method of mainUtils class
[2026-02-25 20:56:56,119] 54 root - Exited the save_object method of Mainutils class
[2026-02-25 20:56:56,120] 35 root - Data Transformation Completed
[2026-02-25 20:56:56,120] 37 root - Model Training started
[2026-02-25 20:56:57,289] 128 root - Best Model: Random Forest
[2026-02-25 20:56:57,289] 129 root - Best Score: 0.9040590405904059
[2026-02-25 20:56:57,328] 50 root - Enter the save_object method of mainUtils class
[2026-02-25 20:56:57,333] 54 root - Exited the save_object method of Mainutils class
[2026-02-25 20:57:24,703] 42 root - model Training artifact created
